date,tiempo,mu
05/06/2001,0.019909298,0.00114
06/06/2001,0.020049155,0.00115
07/06/2001,0.020189012,0.00116
08/06/2001,0.020328869,0.00117
09/06/2001,0.020468727,0.00118
10/06/2001,0.020608584,0.0012
11/06/2001,0.020739914,0.00121
12/06/2001,0.020871244,0.00122
13/06/2001,0.0209846,0.00122
14/06/2001,0.02108767,0.00123
15/06/2001,0.02117727,0.00124
16/06/2001,0.021242766,0.00124
17/06/2001,0.021303372,0.00125
18/06/2001,0.021360082,0.00125
19/06/2001,0.021416792,0.00126
20/06/2001,0.021473503,0.00126
21/06/2001,0.021530213,0.00127
22/06/2001,0.021601101,0.00127
23/06/2001,0.021671989,0.00128
24/06/2001,0.021742876,0.00128
25/06/2001,0.021813764,0.00129
26/06/2001,0.021884652,0.00129
27/06/2001,0.02195554,0.0013
28/06/2001,0.02204415,0.00131
29/06/2001,0.022132759,0.00131
30/06/2001,0.022221369,0.00132
01/07/2001,0.022309979,0.00133
02/07/2001,0.022398589,0.00134
03/07/2001,0.022487199,0.00134
04/07/2001,0.022575808,0.00135
05/07/2001,0.022664418,0.00136
06/07/2001,0.022753028,0.00136
07/07/2001,0.022841638,0.00137
08/07/2001,0.022930248,0.00138
09/07/2001,0.023018857,0.00138
10/07/2001,0.023107467,0.00139
11/07/2001,0.023196077,0.0014
12/07/2001,0.023284687,0.0014
13/07/2001,0.023395449,0.00141
14/07/2001,0.023506211,0.00142
15/07/2001,0.023644664,0.00143
16/07/2001,0.02377205,0.00144
17/07/2001,0.023888977,0.00145
18/07/2001,0.024005903,0.00146
19/07/2001,0.02412283,0.00146
20/07/2001,0.024239757,0.00147
21/07/2001,0.024356684,0.00148
22/07/2001,0.02447361,0.00149
23/07/2001,0.024590537,0.0015
24/07/2001,0.024736695,0.0015
25/07/2001,0.024882854,0.00151
26/07/2001,0.025065552,0.00153
27/07/2001,0.02522776,0.00153
28/07/2001,0.025377136,0.00154
29/07/2001,0.025511359,0.00155
30/07/2001,0.025645582,0.00156
31/07/2001,0.025779805,0.00157
01/08/2001,0.025914028,0.00157
02/08/2001,0.026081807,0.00158
03/08/2001,0.026249585,0.00159
04/08/2001,0.026417364,0.0016
05/08/2001,0.026585143,0.00161
06/08/2001,0.02673365,0.00162
07/08/2001,0.026882158,0.00162
08/08/2001,0.027018772,0.00163
09/08/2001,0.027155387,0.00164
10/08/2001,0.027292002,0.00164
11/08/2001,0.027428616,0.00165
12/08/2001,0.027565231,0.00165
13/08/2001,0.027735999,0.00166
14/08/2001,0.027906768,0.00167
15/08/2001,0.028077536,0.00167
16/08/2001,0.028248304,0.00168
17/08/2001,0.028419073,0.00169
18/08/2001,0.028589841,0.00169
19/08/2001,0.028760609,0.0017
20/08/2001,0.028931378,0.0017
21/08/2001,0.029085215,0.00171
22/08/2001,0.029239053,0.00171
23/08/2001,0.02939289,0.00172
24/08/2001,0.029546728,0.00172
25/08/2001,0.029700565,0.00173
26/08/2001,0.029854402,0.00173
27/08/2001,0.029994627,0.00173
28/08/2001,0.030134851,0.00174
29/08/2001,0.030275076,0.00174
30/08/2001,0.0304153,0.00174
31/08/2001,0.030555525,0.00175
01/09/2001,0.030695749,0.00175
02/09/2001,0.030835974,0.00175
03/09/2001,0.030976198,0.00175
04/09/2001,0.031116423,0.00175
05/09/2001,0.031256647,0.00176
06/09/2001,0.031396872,0.00176
07/09/2001,0.031537096,0.00176
08/09/2001,0.031712377,0.00176
09/09/2001,0.031887658,0.00176
10/09/2001,0.032062938,0.00176
11/09/2001,0.032238219,0.00176
12/09/2001,0.0324135,0.00176
13/09/2001,0.03258878,0.00176
14/09/2001,0.032744295,0.00176
15/09/2001,0.032899809,0.00176
16/09/2001,0.033055323,0.00176
17/09/2001,0.033210838,0.00175
18/09/2001,0.033366352,0.00175
19/09/2001,0.033560745,0.00175
20/09/2001,0.033755138,0.00174
21/09/2001,0.033911364,0.00174
22/09/2001,0.034067589,0.00174
23/09/2001,0.034223815,0.00173
24/09/2001,0.034380041,0.00173
25/09/2001,0.034536267,0.00172
26/09/2001,0.034692493,0.00172
27/09/2001,0.034848718,0.00171
28/09/2001,0.035004944,0.00171
29/09/2001,0.03516117,0.00171
30/09/2001,0.035317396,0.0017
01/10/2001,0.035473622,0.0017
02/10/2001,0.035629847,0.00169
03/10/2001,0.03582513,0.00168
04/10/2001,0.036020412,0.00168
05/10/2001,0.036215694,0.00167
06/10/2001,0.036391005,0.00166
07/10/2001,0.036566317,0.00166
08/10/2001,0.036741628,0.00165
09/10/2001,0.03691694,0.00164
10/10/2001,0.037092251,0.00164
11/10/2001,0.037251844,0.00163
12/10/2001,0.037411437,0.00162
13/10/2001,0.037571031,0.00162
14/10/2001,0.03772086,0.00161
15/10/2001,0.037870689,0.0016
16/10/2001,0.038020519,0.0016
17/10/2001,0.038170348,0.00159
18/10/2001,0.038320177,0.00158
19/10/2001,0.038470007,0.00158
20/10/2001,0.038619836,0.00157
21/10/2001,0.038807123,0.00156
22/10/2001,0.03899441,0.00155
23/10/2001,0.039181697,0.00154
24/10/2001,0.039335679,0.00154
25/10/2001,0.039489662,0.00153
26/10/2001,0.039611951,0.00152
27/10/2001,0.039734239,0.00152
28/10/2001,0.039856528,0.00151
29/10/2001,0.039978816,0.00151
30/10/2001,0.040101105,0.0015
31/10/2001,0.040223393,0.0015
01/11/2001,0.040335679,0.00149
02/11/2001,0.040447965,0.00149
03/11/2001,0.04056025,0.00148
04/11/2001,0.040672536,0.00148
05/11/2001,0.040784822,0.00147
06/11/2001,0.040897108,0.00147
07/11/2001,0.041009394,0.00146
08/11/2001,0.041121679,0.00146
09/11/2001,0.041233965,0.00145
10/11/2001,0.041346251,0.00145
11/11/2001,0.041458537,0.00144
12/11/2001,0.041570822,0.00144
13/11/2001,0.04171118,0.00143
14/11/2001,0.041851537,0.00142
15/11/2001,0.041991894,0.00141
16/11/2001,0.042132251,0.00141
17/11/2001,0.042264096,0.0014
18/11/2001,0.04239594,0.00139
19/11/2001,0.042527784,0.00139
20/11/2001,0.042659629,0.00138
21/11/2001,0.042791473,0.00137
22/11/2001,0.042923317,0.00137
23/11/2001,0.043055162,0.00136
24/11/2001,0.043187006,0.00135
25/11/2001,0.04331885,0.00134
26/11/2001,0.043440708,0.00134
27/11/2001,0.043545487,0.00133
28/11/2001,0.043650267,0.00133
29/11/2001,0.043755046,0.00132
30/11/2001,0.043853468,0.00132
01/12/2001,0.043951889,0.00131
02/12/2001,0.044050311,0.00131
03/12/2001,0.044173337,0.0013
04/12/2001,0.044327121,0.00129
05/12/2001,0.04451935,0.00128
06/12/2001,0.044691924,0.00127
07/12/2001,0.044864499,0.00126
08/12/2001,0.045001351,0.00126
09/12/2001,0.045138204,0.00125
10/12/2001,0.045267732,0.00124
11/12/2001,0.045397259,0.00123
12/12/2001,0.045526787,0.00123
13/12/2001,0.045688697,0.00122
14/12/2001,0.045850606,0.00121
15/12/2001,0.045982469,0.00121
16/12/2001,0.046103536,0.0012
17/12/2001,0.046201962,0.0012
18/12/2001,0.046300388,0.00119
19/12/2001,0.046398815,0.00119
20/12/2001,0.046491723,0.00118
21/12/2001,0.046584632,0.00118
22/12/2001,0.046677541,0.00117
23/12/2001,0.04677045,0.00117
24/12/2001,0.046863359,0.00116
25/12/2001,0.046979495,0.00116
26/12/2001,0.047095631,0.00115
27/12/2001,0.047240802,0.00115
28/12/2001,0.047385972,0.00114
29/12/2001,0.047531142,0.00113
30/12/2001,0.047676312,0.00113
31/12/2001,0.047857775,0.00112
01/01/2002,0.048039237,0.00111
02/01/2002,0.048202006,0.0011
03/01/2002,0.048336293,0.0011
04/01/2002,0.04847058,0.00109
05/01/2002,0.048604868,0.00109
06/01/2002,0.048739155,0.00108
07/01/2002,0.048873443,0.00108
08/01/2002,0.049041302,0.00107
09/01/2002,0.049251126,0.00107
10/01/2002,0.04946095,0.00106
11/01/2002,0.049670775,0.00105
12/01/2002,0.04986452,0.00105
13/01/2002,0.050058266,0.00104
14/01/2002,0.050252012,0.00104
15/01/2002,0.050445758,0.00103
16/01/2002,0.050601592,0.00103
17/01/2002,0.050757427,0.00102
18/01/2002,0.050913261,0.00102
19/01/2002,0.051069095,0.00101
20/01/2002,0.051216211,0.00101
21/01/2002,0.051400106,0.00101
22/01/2002,0.051573212,0.001
23/01/2002,0.051746318,0.001
24/01/2002,0.051919424,0.000997
25/01/2002,0.052135807,0.000993
26/01/2002,0.052352189,0.000989
27/01/2002,0.052622667,0.000984
28/01/2002,0.052960765,0.000978
29/01/2002,0.053264502,0.000974
30/01/2002,0.053568238,0.000969
31/01/2002,0.053947908,0.000964
01/02/2002,0.054422496,0.000959
02/02/2002,0.054785614,0.000955
03/02/2002,0.055059788,0.000952
04/02/2002,0.055333962,0.000949
05/02/2002,0.055608136,0.000946
06/02/2002,0.05588231,0.000943
07/02/2002,0.056156484,0.00094
08/02/2002,0.056430658,0.000936
09/02/2002,0.056773375,0.000932
10/02/2002,0.057085724,0.000929
11/02/2002,0.057398073,0.000925
12/02/2002,0.057788509,0.000921
13/02/2002,0.058178945,0.000916
14/02/2002,0.058364878,0.000914
15/02/2002,0.058550812,0.000912
16/02/2002,0.058712262,0.00091
17/02/2002,0.058861609,0.000908
18/02/2002,0.059010955,0.000906
19/02/2002,0.059160302,0.000904
20/02/2002,0.059346986,0.000901
21/02/2002,0.059533669,0.000898
22/02/2002,0.059720353,0.000895
23/02/2002,0.059867782,0.000893
24/02/2002,0.060015211,0.000891
25/02/2002,0.06016264,0.000888
26/02/2002,0.060310068,0.000886
27/02/2002,0.060494354,0.000883
28/02/2002,0.06067864,0.000879
01/03/2002,0.060908998,0.000875
02/03/2002,0.061139356,0.000871
03/03/2002,0.061305625,0.000867
04/03/2002,0.061428353,0.000865
05/03/2002,0.061542101,0.000862
06/03/2002,0.061646656,0.00086
07/03/2002,0.061751212,0.000858
08/03/2002,0.061855768,0.000855
09/03/2002,0.061960323,0.000853
10/03/2002,0.062064879,0.000851
11/03/2002,0.062169435,0.000848
12/03/2002,0.062273991,0.000846
13/03/2002,0.062378546,0.000843
14/03/2002,0.062509241,0.00084
15/03/2002,0.062608475,0.000838
16/03/2002,0.062696811,0.000836
17/03/2002,0.062774761,0.000834
18/03/2002,0.062852711,0.000832
19/03/2002,0.062930661,0.00083
20/03/2002,0.063008611,0.000829
21/03/2002,0.063106048,0.000826
22/03/2002,0.063203485,0.000824
23/03/2002,0.063325282,0.000821
24/03/2002,0.063477528,0.000817
25/03/2002,0.063601767,0.000814
26/03/2002,0.063726005,0.000811
27/03/2002,0.063823188,0.000809
28/03/2002,0.063909865,0.000806
29/03/2002,0.063996541,0.000804
30/03/2002,0.064083218,0.000802
31/03/2002,0.064169895,0.0008
01/04/2002,0.064256571,0.000797
02/04/2002,0.064343248,0.000795
03/04/2002,0.064425297,0.000793
04/04/2002,0.064507347,0.000791
05/04/2002,0.064589397,0.000789
06/04/2002,0.064671446,0.000786
07/04/2002,0.064753496,0.000784
08/04/2002,0.064835546,0.000782
09/04/2002,0.064917595,0.00078
10/04/2002,0.064999645,0.000777
11/04/2002,0.065081695,0.000775
12/04/2002,0.065163744,0.000773
13/04/2002,0.065245794,0.00077
14/04/2002,0.065327843,0.000768
15/04/2002,0.065409893,0.000765
16/04/2002,0.065491943,0.000763
17/04/2002,0.065573992,0.000761
18/04/2002,0.065676554,0.000758
19/04/2002,0.065779117,0.000755
20/04/2002,0.065881679,0.000752
21/04/2002,0.065978853,0.000749
22/04/2002,0.066076027,0.000746
23/04/2002,0.066173201,0.000743
24/04/2002,0.066270376,0.000741
25/04/2002,0.06636755,0.000738
26/04/2002,0.066464724,0.000735
27/04/2002,0.066561898,0.000732
28/04/2002,0.066659073,0.00073
29/04/2002,0.066756247,0.000727
30/04/2002,0.066853421,0.000724
01/05/2002,0.066943827,0.000722
02/05/2002,0.067028659,0.00072
03/05/2002,0.067113491,0.000717
04/05/2002,0.067198323,0.000715
05/05/2002,0.067283155,0.000713
06/05/2002,0.067367987,0.000711
07/05/2002,0.067452819,0.000709
08/05/2002,0.067558859,0.000706
09/05/2002,0.067664899,0.000703
10/05/2002,0.067759061,0.000701
11/05/2002,0.067833327,0.000699
12/05/2002,0.067897719,0.000698
13/05/2002,0.067962112,0.000696
14/05/2002,0.068026504,0.000694
15/05/2002,0.068090896,0.000693
16/05/2002,0.068155288,0.000691
17/05/2002,0.068235779,0.00069
18/05/2002,0.068316269,0.000688
19/05/2002,0.06839676,0.000686
20/05/2002,0.06847725,0.000684
21/05/2002,0.06855774,0.000683
22/05/2002,0.068638231,0.000681
23/05/2002,0.068718721,0.000679
24/05/2002,0.068799211,0.000678
25/05/2002,0.068899824,0.000676
26/05/2002,0.069000437,0.000674
27/05/2002,0.06910105,0.000672
28/05/2002,0.069226817,0.000669
29/05/2002,0.069352583,0.000667
30/05/2002,0.069478349,0.000665
31/05/2002,0.069635557,0.000662
01/06/2002,0.069792765,0.000659
02/06/2002,0.069949972,0.000657
03/06/2002,0.070072557,0.000655
04/06/2002,0.07017668,0.000653
05/06/2002,0.070280802,0.000652
06/06/2002,0.070384924,0.00065
07/06/2002,0.070489047,0.000649
08/06/2002,0.070593169,0.000647
09/06/2002,0.070697291,0.000646
10/06/2002,0.070801413,0.000644
11/06/2002,0.070905536,0.000643
12/06/2002,0.071009658,0.000642
13/06/2002,0.07111378,0.000641
14/06/2002,0.071217903,0.000639
15/06/2002,0.071322025,0.000638
16/06/2002,0.071426147,0.000637
17/06/2002,0.0715563,0.000636
18/06/2002,0.071672059,0.000635
19/06/2002,0.071787818,0.000634
20/06/2002,0.071903577,0.000633
21/06/2002,0.072019336,0.000632
22/06/2002,0.072164034,0.000631
23/06/2002,0.072286995,0.000631
24/06/2002,0.072394873,0.00063
25/06/2002,0.072496041,0.000629
26/06/2002,0.072597208,0.000629
27/06/2002,0.072698376,0.000628
28/06/2002,0.072799544,0.000628
29/06/2002,0.072900712,0.000628
30/06/2002,0.07300188,0.000627
01/07/2002,0.073103047,0.000627
02/07/2002,0.073204215,0.000627
03/07/2002,0.073305383,0.000627
04/07/2002,0.073393871,0.000627
05/07/2002,0.07348236,0.000627
06/07/2002,0.073570848,0.000627
07/07/2002,0.073659337,0.000627
08/07/2002,0.073769947,0.000627
09/07/2002,0.073880558,0.000628
10/07/2002,0.073981424,0.000628
11/07/2002,0.074082289,0.000629
12/07/2002,0.074183155,0.00063
13/07/2002,0.074284021,0.00063
14/07/2002,0.074384886,0.000631
15/07/2002,0.074485752,0.000632
16/07/2002,0.074611834,0.000633
17/07/2002,0.074769437,0.000635
18/07/2002,0.07496644,0.000637
19/07/2002,0.075163443,0.00064
20/07/2002,0.075409697,0.000644
21/07/2002,0.075607967,0.000647
22/07/2002,0.07575398,0.000649
23/07/2002,0.075899993,0.000652
24/07/2002,0.076046006,0.000655
25/07/2002,0.0761711,0.000657
26/07/2002,0.076296193,0.00066
27/07/2002,0.076421287,0.000663
28/07/2002,0.07654638,0.000666
29/07/2002,0.076702747,0.00067
30/07/2002,0.076859114,0.000674
31/07/2002,0.077015481,0.000678
01/08/2002,0.07721094,0.000684
02/08/2002,0.077406399,0.00069
03/08/2002,0.077601858,0.000696
04/08/2002,0.077771881,0.000701
05/08/2002,0.077916777,0.000706
06/08/2002,0.078053718,0.00071
07/08/2002,0.078181364,0.000715
08/08/2002,0.078309009,0.000719
09/08/2002,0.078436655,0.000724
10/08/2002,0.078564301,0.000729
11/08/2002,0.078678913,0.000733
12/08/2002,0.078787519,0.000737
13/08/2002,0.078883628,0.000741
14/08/2002,0.078979737,0.000745
15/08/2002,0.079055516,0.000748
16/08/2002,0.079131295,0.000751
17/08/2002,0.079207074,0.000755
18/08/2002,0.079282853,0.000758
19/08/2002,0.079358632,0.000761
20/08/2002,0.079453355,0.000765
21/08/2002,0.079548079,0.00077
22/08/2002,0.079642802,0.000774
23/08/2002,0.079737526,0.000779
24/08/2002,0.07983225,0.000783
25/08/2002,0.079926973,0.000788
26/08/2002,0.080021697,0.000793
27/08/2002,0.08011642,0.000798
28/08/2002,0.080234825,0.000804
29/08/2002,0.080353229,0.00081
30/08/2002,0.080471634,0.000816
31/08/2002,0.080590038,0.000823
01/09/2002,0.080698902,0.000828
02/09/2002,0.080795608,0.000834
03/09/2002,0.080887297,0.000839
04/09/2002,0.080978986,0.000844
05/09/2002,0.081070675,0.000849
06/09/2002,0.081162363,0.000854
07/09/2002,0.081254052,0.000859
08/09/2002,0.081368663,0.000865
09/09/2002,0.081483275,0.000872
10/09/2002,0.081626538,0.00088
11/09/2002,0.081769802,0.000889
12/09/2002,0.081948882,0.000899
13/09/2002,0.08210433,0.000909
14/09/2002,0.082222029,0.000916
15/09/2002,0.082339729,0.000923
16/09/2002,0.082448601,0.00093
17/09/2002,0.082557473,0.000937
18/09/2002,0.082666345,0.000944
19/09/2002,0.082775217,0.000951
20/09/2002,0.08288409,0.000957
21/09/2002,0.082992962,0.000964
22/09/2002,0.083101834,0.000971
23/09/2002,0.083210706,0.000978
24/09/2002,0.083319578,0.000986
25/09/2002,0.083428451,0.000993
26/09/2002,0.083537323,0.001
27/09/2002,0.083646195,0.00101
28/09/2002,0.083755067,0.00101
29/09/2002,0.083863939,0.00102
30/09/2002,0.083962522,0.00103
01/10/2002,0.084061105,0.00103
02/10/2002,0.084159688,0.00104
03/10/2002,0.08425827,0.00105
04/10/2002,0.084381499,0.00106
05/10/2002,0.084504727,0.00106
06/10/2002,0.084658763,0.00107
07/10/2002,0.084797726,0.00108
08/10/2002,0.084936688,0.00109
09/10/2002,0.085075651,0.0011
10/10/2002,0.085198765,0.00111
11/10/2002,0.085313497,0.00112
12/10/2002,0.085417478,0.00113
13/10/2002,0.085521458,0.00113
14/10/2002,0.085616068,0.00114
15/10/2002,0.085700415,0.00115
16/10/2002,0.085774838,0.00115
17/10/2002,0.08584926,0.00115
18/10/2002,0.085923683,0.00116
19/10/2002,0.085998106,0.00116
20/10/2002,0.086072529,0.00117
21/10/2002,0.086146951,0.00117
22/10/2002,0.086221374,0.00118
23/10/2002,0.086314403,0.00119
24/10/2002,0.086407431,0.00119
25/10/2002,0.086523717,0.0012
26/10/2002,0.086640002,0.00121
27/10/2002,0.08673591,0.00121
28/10/2002,0.086822039,0.00122
29/10/2002,0.086908167,0.00122
30/10/2002,0.086994296,0.00123
31/10/2002,0.087080424,0.00123
01/11/2002,0.087166553,0.00124
02/11/2002,0.087274213,0.00125
03/11/2002,0.087381874,0.00125
04/11/2002,0.087489535,0.00126
05/11/2002,0.087582865,0.00127
06/11/2002,0.087676195,0.00127
07/11/2002,0.087769525,0.00128
08/11/2002,0.087862855,0.00128
09/11/2002,0.087956185,0.00129
10/11/2002,0.088072848,0.0013
11/11/2002,0.08818951,0.0013
12/11/2002,0.088335338,0.00131
13/11/2002,0.088481167,0.00132
14/11/2002,0.088626995,0.00133
15/11/2002,0.088772823,0.00134
