tiempo,mu
0.038320177,0.00158
0.038470007,0.00158
0.038619836,0.00157
0.038807123,0.00156
0.03899441,0.00155
0.039181697,0.00154
0.039335679,0.00154
0.039489662,0.00153
0.039611951,0.00152
0.039734239,0.00152
0.039856528,0.00151
0.039978816,0.00151
0.040101105,0.0015
0.040223393,0.0015
0.040335679,0.00149
0.040447965,0.00149
0.04056025,0.00148
0.040672536,0.00148
0.040784822,0.00147
0.040897108,0.00147
0.041009394,0.00146
0.041121679,0.00146
0.041233965,0.00145
0.041346251,0.00145
0.041458537,0.00144
0.041570822,0.00144
0.04171118,0.00143
0.041851537,0.00142
0.041991894,0.00141
0.042132251,0.00141
0.042264096,0.0014
0.04239594,0.00139
0.042527784,0.00139
0.042659629,0.00138
0.042791473,0.00137
0.042923317,0.00137
0.043055162,0.00136
0.043187006,0.00135
0.04331885,0.00134
0.043440708,0.00134
0.043545487,0.00133
0.043650267,0.00133
0.043755046,0.00132
0.043853468,0.00132
0.043951889,0.00131
0.044050311,0.00131
0.044173337,0.0013
0.044327121,0.00129
0.04451935,0.00128
0.044691924,0.00127
0.044864499,0.00126
0.045001351,0.00126
0.045138204,0.00125
0.045267732,0.00124
0.045397259,0.00123
0.045526787,0.00123
0.045688697,0.00122
0.045850606,0.00121
0.045982469,0.00121
0.046103536,0.0012
0.046201962,0.0012
0.046300388,0.00119
0.046398815,0.00119
0.046491723,0.00118
0.046584632,0.00118
0.046677541,0.00117
0.04677045,0.00117
0.046863359,0.00116
0.046979495,0.00116
0.047095631,0.00115
0.047240802,0.00115
0.047385972,0.00114
0.047531142,0.00113
0.047676312,0.00113
0.047857775,0.00112
0.048039237,0.00111
0.048202006,0.0011
0.048336293,0.0011
0.04847058,0.00109
0.048604868,0.00109
0.048739155,0.00108
0.048873443,0.00108
0.049041302,0.00107
0.049251126,0.00107
0.04946095,0.00106
0.049670775,0.00105
0.04986452,0.00105
0.050058266,0.00104
0.050252012,0.00104
0.050445758,0.00103
0.050601592,0.00103
0.050757427,0.00102
0.050913261,0.00102
0.051069095,0.00101
0.051216211,0.00101
0.051400106,0.00101
0.051573212,0.001
0.051746318,0.001
0.051919424,0.000997
0.052135807,0.000993
0.052352189,0.000989
0.052622667,0.000984
0.052960765,0.000978
0.053264502,0.000974
0.053568238,0.000969
0.053947908,0.000964
0.054422496,0.000959
0.054785614,0.000955
0.055059788,0.000952
0.055333962,0.000949
0.055608136,0.000946
0.05588231,0.000943
0.056156484,0.00094
0.056430658,0.000936
0.056773375,0.000932
0.057085724,0.000929
0.057398073,0.000925
0.057788509,0.000921
0.058178945,0.000916
0.058364878,0.000914
0.058550812,0.000912
0.058712262,0.00091
0.058861609,0.000908
0.059010955,0.000906
0.059160302,0.000904
0.059346986,0.000901
0.059533669,0.000898
0.059720353,0.000895
0.059867782,0.000893
0.060015211,0.000891
0.06016264,0.000888
0.060310068,0.000886
0.060494354,0.000883
0.06067864,0.000879
0.060908998,0.000875
0.061139356,0.000871
0.061305625,0.000867
0.061428353,0.000865
0.061542101,0.000862
0.061646656,0.00086
0.061751212,0.000858
0.061855768,0.000855
0.061960323,0.000853
0.062064879,0.000851
0.062169435,0.000848
0.062273991,0.000846
0.062378546,0.000843
0.062509241,0.00084
0.062608475,0.000838
0.062696811,0.000836
0.062774761,0.000834
0.062852711,0.000832
0.062930661,0.00083
0.063008611,0.000829
0.063106048,0.000826
0.063203485,0.000824
0.063325282,0.000821
0.063477528,0.000817
0.063601767,0.000814
0.063726005,0.000811
0.063823188,0.000809
0.063909865,0.000806
0.063996541,0.000804
0.064083218,0.000802
0.064169895,0.0008
0.064256571,0.000797
0.064343248,0.000795
0.064425297,0.000793
0.064507347,0.000791
0.064589397,0.000789
0.064671446,0.000786
0.064753496,0.000784
0.064835546,0.000782
0.064917595,0.00078
0.064999645,0.000777
0.065081695,0.000775
0.065163744,0.000773
0.065245794,0.00077
0.065327843,0.000768
0.065409893,0.000765
0.065491943,0.000763
0.065573992,0.000761
0.065676554,0.000758
0.065779117,0.000755
0.065881679,0.000752
0.065978853,0.000749
0.066076027,0.000746
0.066173201,0.000743
0.066270376,0.000741
0.06636755,0.000738
0.066464724,0.000735
0.066561898,0.000732
0.066659073,0.00073
0.066756247,0.000727
0.066853421,0.000724
0.066943827,0.000722
0.067028659,0.00072
0.067113491,0.000717
0.067198323,0.000715
0.067283155,0.000713
0.067367987,0.000711
0.067452819,0.000709
0.067558859,0.000706
0.067664899,0.000703
0.067759061,0.000701
0.067833327,0.000699
0.067897719,0.000698
0.067962112,0.000696
0.068026504,0.000694
0.068090896,0.000693
0.068155288,0.000691
0.068235779,0.00069
0.068316269,0.000688
0.06839676,0.000686
0.06847725,0.000684
0.06855774,0.000683
0.068638231,0.000681
0.068718721,0.000679
0.068799211,0.000678
0.068899824,0.000676
0.069000437,0.000674
0.06910105,0.000672
0.069226817,0.000669
0.069352583,0.000667
0.069478349,0.000665
0.069635557,0.000662
0.069792765,0.000659
0.069949972,0.000657
0.070072557,0.000655
0.07017668,0.000653
0.070280802,0.000652
0.070384924,0.00065
0.070489047,0.000649
0.070593169,0.000647
0.070697291,0.000646
0.070801413,0.000644
0.070905536,0.000643
0.071009658,0.000642
0.07111378,0.000641
0.071217903,0.000639
0.071322025,0.000638
0.071426147,0.000637
0.0715563,0.000636
0.071672059,0.000635
0.071787818,0.000634
0.071903577,0.000633
0.072019336,0.000632
0.072164034,0.000631
0.072286995,0.000631
0.072394873,0.00063
0.072496041,0.000629
0.072597208,0.000629
0.072698376,0.000628
0.072799544,0.000628
0.072900712,0.000628
0.07300188,0.000627
0.073103047,0.000627
0.073204215,0.000627
0.073305383,0.000627
0.073393871,0.000627
0.07348236,0.000627
0.073570848,0.000627
0.073659337,0.000627
0.073769947,0.000627
0.073880558,0.000628
0.073981424,0.000628
0.074082289,0.000629
0.074183155,0.00063
0.074284021,0.00063
0.074384886,0.000631
0.074485752,0.000632
0.074611834,0.000633
0.074769437,0.000635
0.07496644,0.000637
0.075163443,0.00064
0.075409697,0.000644
0.075607967,0.000647
0.07575398,0.000649
0.075899993,0.000652
0.076046006,0.000655
0.0761711,0.000657
0.076296193,0.00066
0.076421287,0.000663
0.07654638,0.000666
0.076702747,0.00067
0.076859114,0.000674
0.077015481,0.000678
0.07721094,0.000684
0.077406399,0.00069
0.077601858,0.000696
0.077771881,0.000701
0.077916777,0.000706
0.078053718,0.00071
0.078181364,0.000715
0.078309009,0.000719
0.078436655,0.000724
0.078564301,0.000729
0.078678913,0.000733
0.078787519,0.000737
0.078883628,0.000741
0.078979737,0.000745
0.079055516,0.000748
0.079131295,0.000751
0.079207074,0.000755
0.079282853,0.000758
0.079358632,0.000761
0.079453355,0.000765
0.079548079,0.00077
0.079642802,0.000774
0.079737526,0.000779
0.07983225,0.000783
0.079926973,0.000788
0.080021697,0.000793
0.08011642,0.000798
0.080234825,0.000804
0.080353229,0.00081
0.080471634,0.000816
0.080590038,0.000823
0.080698902,0.000828
0.080795608,0.000834
0.080887297,0.000839
0.080978986,0.000844
0.081070675,0.000849
0.081162363,0.000854
0.081254052,0.000859
0.081368663,0.000865
0.081483275,0.000872
0.081626538,0.00088
0.081769802,0.000889
0.081948882,0.000899
0.08210433,0.000909
0.082222029,0.000916
0.082339729,0.000923
0.082448601,0.00093
0.082557473,0.000937
0.082666345,0.000944
0.082775217,0.000951
0.08288409,0.000957
0.082992962,0.000964
0.083101834,0.000971
0.083210706,0.000978
0.083319578,0.000986
0.083428451,0.000993
0.083537323,0.001
0.083646195,0.00101
0.083755067,0.00101
0.083863939,0.00102
0.083962522,0.00103
0.084061105,0.00103
0.084159688,0.00104
0.08425827,0.00105
0.084381499,0.00106
0.084504727,0.00106
0.084658763,0.00107
0.084797726,0.00108
0.084936688,0.00109
0.085075651,0.0011
0.085198765,0.00111
0.085313497,0.00112
0.085417478,0.00113
0.085521458,0.00113
0.085616068,0.00114
0.085700415,0.00115
0.085774838,0.00115
0.08584926,0.00115
0.085923683,0.00116
0.085998106,0.00116
0.086072529,0.00117
0.086146951,0.00117
0.086221374,0.00118
0.086314403,0.00119
0.086407431,0.00119
0.086523717,0.0012
0.086640002,0.00121
0.08673591,0.00121
0.086822039,0.00122
0.086908167,0.00122
0.086994296,0.00123
0.087080424,0.00123
0.087166553,0.00124
0.087274213,0.00125
0.087381874,0.00125
0.087489535,0.00126
0.087582865,0.00127
0.087676195,0.00127
0.087769525,0.00128
0.087862855,0.00128
0.087956185,0.00129
0.088072848,0.0013
0.08818951,0.0013
0.088335338,0.00131
0.088481167,0.00132
0.088626995,0.00133
0.088772823,0.00134
0.088897905,0.00134
0.089022988,0.00135
0.089139249,0.00136
0.089255511,0.00136
0.089371773,0.00137
0.089488035,0.00137
0.089604296,0.00138
0.089720558,0.00138
0.08983682,0.00139
0.089941699,0.00139
0.090046579,0.0014
0.090151459,0.0014
0.090256338,0.00141
0.090387438,0.00141
0.090518538,0.00142
0.090649637,0.00142
0.090780737,0.00143
0.090911836,0.00143
0.091042936,0.00144
0.091174036,0.00144
0.091305135,0.00144
0.091436235,0.00145
0.091559244,0.00145
0.091682254,0.00145
0.091805263,0.00146
0.091928273,0.00146
0.092051282,0.00146
0.092174292,0.00147
0.092279167,0.00147
0.092384043,0.00147
0.092488918,0.00147
0.092593794,0.00147
0.092698669,0.00148
0.092803545,0.00148
0.092934639,0.00148
0.093065734,0.00148
0.093229602,0.00148
0.093434437,0.00148
0.093639272,0.00148
0.093844107,0.00148
0.094029802,0.00148
0.094215497,0.00148
0.094401192,0.00148
0.094555623,0.00148
0.094697523,0.00148
0.094839422,0.00148
0.094981322,0.00147
0.095123222,0.00147
0.095265121,0.00147
0.095398717,0.00147
0.095532313,0.00147
0.095665909,0.00146
0.095799505,0.00146
0.095933101,0.00146
0.096066697,0.00145
0.096200293,0.00145
0.096333889,0.00145
0.096500884,0.00144
0.096667879,0.00144
0.096834874,0.00143
0.097001869,0.00143
0.097168864,0.00142
0.097335859,0.00142
0.097502854,0.00141
0.097660749,0.00141
0.097808,0.0014
0.097940685,0.0014
0.09807337,0.00139
0.098206056,0.00139
0.098338741,0.00138
0.098462982,0.00138
0.098580117,0.00137
0.098697252,0.00137
0.098814387,0.00136
0.098931522,0.00136
0.09907794,0.00135
0.099224359,0.00135
0.099407382,0.00134
0.099590405,0.00133
0.099773429,0.00132
0.09994586,0.00131
0.1,0.00131
0.100172431,0.0013
0.100344863,0.00129
0.100508632,0.00128
0.100657657,0.00127
0.100806682,0.00126
0.100955707,0.00126
0.101104732,0.00125
0.101253757,0.00124
0.101440038,0.00123
0.10161288,0.00122
0.101785722,0.00121
0.101958563,0.0012
0.10210013,0.00119
0.102233697,0.00119
0.102356089,0.00118
0.102478481,0.00117
0.102600873,0.00117
0.102723265,0.00116
0.102845658,0.00115
0.10296805,0.00115
0.103090442,0.00114
0.103212834,0.00113
0.103335226,0.00113
0.103457618,0.00112
0.10358001,0.00111
0.103702402,0.00111
0.103824794,0.0011
0.103977784,0.00109
0.104130774,0.00108
0.104283765,0.00107
0.104416444,0.00107
0.104549124,0.00106
0.104672656,0.00105
0.104796189,0.00105
0.104919721,0.00104
0.105043253,0.00103
0.105159882,0.00103
0.10527651,0.00102
0.105393138,0.00101
0.105509767,0.00101
0.105655552,0.000999
0.105801337,0.00099
0.105983569,0.00098
0.106145516,0.000971
0.106307463,0.000962
0.10646941,0.000953
0.106631357,0.000944
0.106760957,0.000937
0.106882213,0.000931
0.10700347,0.000924
0.107124726,0.000918
0.107245982,0.000912
0.107367239,0.000905
0.107473766,0.0009
0.107580293,0.000894
0.10768682,0.000889
0.107793347,0.000883
0.107899874,0.000878
0.108006401,0.000872
0.108112928,0.000867
0.108246087,0.000861
0.108379245,0.000854
0.108512404,0.000847
0.108627749,0.000842
0.108743093,0.000836
0.108858437,0.000831
0.108973781,0.000826
0.109089126,0.00082
0.109233306,0.000814
0.109413531,0.000806
0.109593757,0.000798
0.109773982,0.00079
0.109916107,0.000785
0.110058232,0.000779
0.110200357,0.000774
0.110342482,0.000768
0.110484607,0.000763
0.110626732,0.000758
0.110804389,0.000752
0.110982045,0.000746
0.111136739,0.000741
0.111278565,0.000737
0.111402243,0.000734
0.111519504,0.00073
0.11161966,0.000728
0.111719816,0.000725
0.111819972,0.000723
0.111920129,0.000721
0.112020285,0.000718
0.11214548,0.000716
0.112270675,0.000713
0.112427169,0.00071
0.112583663,0.000707
0.112779281,0.000704
0.113023803,0.0007
0.113268325,0.000696
0.113512847,0.000693
0.113743996,0.00069
0.113975145,0.000687
0.114206294,0.000685
0.11449523,0.000682
0.114856401,0.000679
0.1151423,0.000677
0.115368787,0.000675
0.115572583,0.000674
0.115735484,0.000673
0.115898385,0.000672
0.116061286,0.000671
0.116224186,0.00067
0.116387087,0.00067
0.116590713,0.000669
0.116845245,0.000667
0.117099778,0.000666
0.117417943,0.000665
0.117736109,0.000663
0.118026117,0.000662
0.118316125,0.000661
0.118606133,0.000659
0.118968643,0.000657
0.11942178,0.000655
0.119874918,0.000653
0.120217961,0.000651
0.120460123,0.00065
0.120654308,0.000648
0.120819879,0.000647
0.120985451,0.000646
0.121151022,0.000645
0.121316593,0.000644
0.121466517,0.000643
0.121616442,0.000642
0.121766366,0.00064
0.121953771,0.000639
0.122141177,0.000637
0.122328582,0.000636
0.122515988,0.000634
0.122691057,0.000633
0.122833606,0.000631
0.122976155,0.00063
0.123118704,0.000629
0.123222677,0.000628
0.123312115,0.000627
0.123401553,0.000626
0.123490992,0.000625
0.12358043,0.000624
0.123669868,0.000623
0.123781666,0.000622
0.123893464,0.000621
0.124033211,0.00062
0.124207895,0.000618
0.12442625,0.000617
0.124644605,0.000615
0.124819707,0.000613
0.12496085,0.000612
0.125089748,0.000611
0.125218647,0.00061
0.125347545,0.000609
0.125508667,0.000608
0.12566979,0.000607
0.125830913,0.000605
0.126032316,0.000604
0.12623372,0.000602
0.126412514,0.000601
0.126591308,0.0006
0.126740597,0.000599
0.126889886,0.000598
0.127010441,0.000597
0.127130996,0.000596
0.127251551,0.000596
0.127372106,0.000595
0.127492661,0.000594
0.127613216,0.000593
0.127733771,0.000593
0.127854326,0.000592
0.12800502,0.000591
0.128155714,0.00059
0.128306407,0.00059
0.128437816,0.000589
0.128569225,0.000588
0.128700634,0.000587
0.128832043,0.000587
0.128963452,0.000586
0.129127713,0.000585
0.129291974,0.000584
0.1294973,0.000583
0.129686655,0.000582
0.129876009,0.000581
